build_id,build_lat,build_lon,build_start_dt,build_end_dt,coll_id,coll_dt,coll_lat,coll_lon,radius
6401146,47.63209422,-122.3419139,4/24/2015,8/24/2017,162244138,11/4/2016,47.62757213,-122.3423227,1206
6405731,47.56127513,-122.3886209,12/23/2014,11/17/2016,162244140,12/23/2016,47.71925344,-122.2907841,1483
6329942,47.62301247,-122.3233857,10/25/2013,2/24/2015,162244141,12/21/2016,47.62313461,-122.3225348,312
6404113,47.62369467,-122.3362305,1/26/2016,12/28/2017,162244142,12/23/2016,47.68966537,-122.3768028,882
6327457,47.69041968,-122.3598097,6/8/2013,1/28/2015,162244143,12/3/2016,47.61891507,-122.2992231,588
6407657,47.5540511,-122.3210202,5/13/2015,7/31/2017,162244225,12/22/2016,47.59515429,-122.3096698,1883
6399403,47.62304677,-122.3407984,7/9/2014,3/28/2016,162244226,12/31/2016,47.65794176,-122.3177911,1759
6369620,47.62264265,-122.3394103,1/9/2014,7/24/2015,162244227,12/23/2016,47.66262938,-122.3331406,2258
6355935,47.61336267,-122.3190838,8/16/2013,6/16/2015,162244229,12/9/2016,47.62253861,-122.3167639,2455
6352828,47.61273006,-122.3028953,4/15/2014,2/23/2016,162244236,12/11/2016,47.57137519,-122.3562706,2078
6445991,47.56881722,-122.365913,9/29/2016,1/25/2018,162244241,11/14/2016,47.73405298,-122.3234835,1688
6459262,47.62192794,-122.3576693,3/4/2016,9/28/2017,162244242,12/9/2016,47.62021304,-122.3036196,2131
6372508,47.61834052,-122.3091734,7/23/2014,9/8/2016,162244243,12/24/2016,47.5029917,-122.2584186,1454
6372434,47.57070622,-122.3301196,12/24/2013,11/19/2015,162244245,12/28/2016,47.66577415,-122.3384978,1273
6338150,47.62615808,-122.3513117,2/7/2015,2/10/2017,162244246,12/25/2016,47.65842377,-122.2867082,2236
6405410,47.66601132,-122.3772692,3/26/2015,7/26/2016,162244248,12/22/2016,47.58822701,-122.3290514,583
6369916,47.63204687,-122.3601297,4/1/2014,7/17/2015,162244250,12/23/2016,47.59918458,-122.321737,2224
6424483,47.60039583,-122.3324886,3/9/2015,11/3/2016,162244252,12/22/2016,47.66941492,-122.2902029,2154
6338392,47.66366765,-122.3145098,6/7/2014,10/19/2015,162244254,12/27/2016,47.61291458,-122.3134756,1548
6446933,47.56204949,-122.3877715,4/26/2016,8/30/2017,162244255,12/21/2016,47.5603579,-122.3048723,1253
6254208,47.62345613,-122.3340971,7/29/2014,12/23/2015,162244257,11/8/2016,47.52541673,-122.3347623,2240
6337152,47.55257901,-122.3802058,6/17/2013,9/29/2014,162244258,12/31/2016,47.59192874,-122.3085115,2338
6369367,47.6634884,-122.3161243,9/15/2014,2/3/2016,162244259,12/27/2016,47.61523114,-122.3234155,2121
6443916,47.62267378,-122.3604167,7/1/2015,8/30/2016,162244260,12/27/2016,47.61407001,-122.3234015,1300
6283699,47.61803417,-122.3064224,10/7/2013,3/30/2017,162244265,12/26/2016,47.59583136,-122.3219169,1908
6419979,47.66113035,-122.3459842,2/28/2015,2/9/2016,162244267,12/20/2016,47.58965911,-122.3067791,2068
6467329,47.72369199,-122.3067701,7/25/2015,7/11/2017,162244268,12/27/2016,47.61523842,-122.3279038,798
6499097,47.54078431,-122.371498,11/15/2016,6/21/2017,162244269,12/25/2016,47.60498152,-122.3272962,1372
6415053,47.67724011,-122.291275,1/6/2016,11/2/2016,162244271,12/24/2016,47.60651347,-122.3154684,812
6308980,47.62251637,-122.3339166,12/26/2013,7/10/2017,162244272,12/22/2016,47.61990775,-122.3208729,1119
